word,count,index
10,1,0
4,1,1
5,1,2
Hưng,1,3
Sơn,1,4
Tuấn,2,5
Tùng,1,6
Tú,1,7
ai,3,8
bao,2,9
barrack,1,10
bay,1,11
biến,1,12
biết,1,13
buồn,4,14
bài,1,15
bàn,5,16
bán,1,17
báo,1,18
bão,4,19
bóng,1,20
bạn,11,21
bầu,1,22
bật,56,23
bằng,1,24
bến,1,25
bị,3,26
bỏ,2,27
ca,2,28
camera,1,29
cho,38,30
chrome,58,31
chuyện,8,32
chuột,4,33
chán,5,34
chí,1,35
chính,1,36
chơi,1,37
chạy,4,38
chảnh,1,39
chứng,1,40
chữa,1,41
con,1,42
cáo,1,43
câu,5,44
có,3,45
cô,2,46
công,5,47
cũ,1,48
cơ,4,49
cửa,13,50
dell,1,51
donald,1,52
dropbox,15,53
dây,2,54
dùng,32,55
dịch,1,56
dụng,16,57
facebook,46,58
firefox,53,59
fourier,1,60
gamming,2,61
ghét,9,62
ghê,1,63
giao,1,64
giá,12,65
giúp,23,66
giả,2,67
giảm,1,68
gmail,3,69
google,17,70
gái,5,71
gì,16,72
gói,2,73
gần,3,74
hoạt,2,75
huyền,1,76
hà,3,77
hài,1,78
hàng,3,79
hát,1,80
hãy,18,81
hình,1,82
hóa,1,83
hôm,7,84
học,3,85
hồ,1,86
hộp,2,87
hợp,1,88
instagram,10,89
khoán,1,90
khoản,1,91
không,42,92
khẩu,1,93
khởi,6,94
kinh,1,95
kẹo,2,96
kết,3,97
kể,5,98
lai,2,99
liên,3,100
luật,2,101
là,21,102
làm,4,103
lên,11,104
lô,1,105
lướt,4,106
lại,18,107
lập,1,108
lắm,1,109
lừa,1,110
lửa,4,111
messenger,2,112
milo,1,113
minh,5,114
mtp,1,115
mua,2,116
muốn,87,117
màn,1,118
mày,1,119
máy,7,120
mí,1,121
mút,1,122
mại,1,123
mất,2,124
một,3,125
mới,4,126
mở,72,127
mỳ,1,128
nam,2,129
nay,7,130
netflix,26,131
ngay,20,132
ngôn,1,133
người,4,134
ngắt,6,135
nhanh,1,136
nhau,2,137
nhiêu,2,138
nhiệt,1,139
nhà,3,140
nhái,1,141
nhé,17,142
như,3,143
nhất,5,144
nhỉ,17,145
notepad,1,146
nào,23,147
nói,2,148
năm,1,149
nơi,1,150
nước,1,151
nấu,1,152
nắng,1,153
nến,1,154
nền,1,155
nội,3,156
nữa,28,157
obama,1,158
olympic,2,159
pain,1,160
pháp,2,161
phím,4,162
phương,1,163
phạm,2,164
phạt,3,165
phẩm,3,166
phố,1,167
phủ,1,168
pinta,39,169
pixel,1,170
putin,1,171
python,1,172
quá,11,173
quân,1,174
quả,2,175
quảng,1,176
quốc,1,177
ra,12,178
rau,1,179
rẻ,1,180
rồi,22,181
samsung,1,182
sang,1,183
sao,2,184
spotify,4,185
sách,1,186
sĩ,2,187
sản,3,188
số,4,189
sở,1,190
sử,10,191
sữa,1,192
sự,1,193
tao,5,194
tay,1,195
terminal,41,196
thao,1,197
thoại,4,198
thuốc,2,199
thành,1,200
thích,17,201
thông,2,202
thúc,1,203
thư,1,204
thương,1,205
thấp,1,206
thất,2,207
thấy,32,208
thật,3,209
thế,11,210
thể,1,211
thổi,1,212
thức,1,213
thực,3,214
tin,7,215
tiền,1,216
toán,1,217
trang,1,218
trump,1,219
trình,1,220
trại,1,221
trạm,2,222
ty,4,223
tài,1,224
tàu,1,225
tâm,1,226
tên,2,227
tìm,2,228
tình,3,229
tính,5,230
tô,4,231
tôi,181,232
tôm,2,233
tương,2,234
tưởng,1,235
tảng,1,236
tắt,29,237
tế,2,238
tức,2,239
tử,1,240
ung,1,241
vi,2,242
vincity,1,243
việt,1,244
vladiamir,1,245
vui,4,246
vàng,5,247
vào,2,248
với,3,249
xe,5,250
xem,8,251
xiaomi,1,252
xinh,3,253
xuất,3,254
xách,1,255
xăng,3,256
xổ,2,257
youtube,29,258
yêu,12,259
à,1,260
áp,1,261
ân,1,262
ô,4,263
ông,1,264
ý,1,265
ăn,4,266
đi,47,267
điểm,1,268
điện,5,269
đàn,2,270
đá,3,271
đáng,1,272
đâu,28,273
đèn,3,274
đóng,43,275
được,33,276
đạp,1,277
đảo,2,278
đất,1,279
đầu,1,280
đẹp,2,281
đề,1,282
để,8,283
đọc,1,284
đồ,3,285
đổi,1,286
động,8,287
đới,1,288
đừng,5,289
ơi,15,290
ấy,2,291
ở,14,292
ứng,5,293
