word,count,index
10,1,0
4,1,1
5,1,2
Dropbox,2,3
Dừng,1,4
Eclip,1,5
Hưng,1,6
IntelliJ,1,7
Notepad,1,8
Steam,1,9
Sơn,1,10
Tuấn,2,11
Tùng,1,12
Tú,1,13
ai,3,14
bao,2,15
barrack,1,16
bay,1,17
biến,1,18
biết,1,19
blender,2,20
buồn,4,21
bài,1,22
bàn,5,23
bán,1,24
báo,1,25
bây,2,26
bão,4,27
bóng,1,28
bạn,11,29
bầu,1,30
bật,60,31
bắt,1,32
bằng,1,33
bến,1,34
bị,3,35
bỏ,2,36
ca,2,37
camera,1,38
cho,43,39
chrome,58,40
chuyện,8,41
chuột,4,42
chán,6,43
chí,1,44
chính,1,45
chơi,1,46
chương,1,47
chạy,9,48
chảnh,1,49
chứng,1,50
chữa,1,51
computer,1,52
con,1,53
cáo,1,54
câu,5,55
có,3,56
cô,2,57
công,5,58
cũ,1,59
cơ,4,60
cửa,13,61
dell,1,62
donald,1,63
dropbox,15,64
dây,2,65
dùng,32,66
dịch,1,67
dụng,27,68
dừng,4,69
exel,1,70
facebook,46,71
firefox,54,72
fourier,1,73
gamming,2,74
garena,1,75
ghét,9,76
ghê,1,77
giao,1,78
giá,12,79
giúp,23,80
giả,2,81
giảm,1,82
giờ,2,83
gmail,3,84
google,17,85
gái,5,86
gì,16,87
gói,2,88
gần,3,89
hiển,1,90
hoạt,2,91
huyền,1,92
hà,3,93
hài,1,94
hàng,3,95
hát,1,96
hãy,19,97
hình,2,98
hóa,1,99
hôm,7,100
hẳn,1,101
học,3,102
hồ,1,103
hộp,2,104
hợp,1,105
instagram,10,106
is,1,107
khoán,1,108
khoản,1,109
không,53,110
khẩu,1,111
khởi,10,112
kinh,1,113
kẹo,2,114
kết,3,115
kể,5,116
lai,2,117
liên,3,118
luật,2,119
là,21,120
làm,5,121
lên,15,122
lô,1,123
lướt,4,124
lại,24,125
lập,1,126
lắm,1,127
lừa,1,128
lửa,4,129
messenger,2,130
milo,1,131
minh,5,132
mtp,1,133
mua,2,134
muốn,93,135
my,2,136
màn,2,137
mày,1,138
máy,7,139
mí,1,140
mút,1,141
mại,1,142
mất,2,143
mềm,2,144
một,3,145
mới,4,146
mở,79,147
mỳ,1,148
nam,2,149
nay,7,150
netflix,26,151
ngay,25,152
nghị,2,153
ngôn,1,154
người,4,155
ngấy,1,156
ngắt,6,157
nhanh,1,158
nhau,2,159
nhiêu,2,160
nhiệt,1,161
nhà,3,162
nhái,1,163
nhé,18,164
như,3,165
nhất,5,166
nhỉ,17,167
notepad,1,168
nào,24,169
nói,2,170
năm,1,171
nơi,1,172
nước,1,173
nấu,1,174
nắng,1,175
nến,1,176
nền,1,177
nội,3,178
nữa,34,179
obama,1,180
olympic,2,181
opera,1,182
pain,1,183
paint,17,184
pháp,2,185
phím,4,186
phương,1,187
phạm,2,188
phạt,3,189
phải,1,190
phần,2,191
phẩm,3,192
phố,1,193
phủ,1,194
pinta,39,195
pixel,1,196
point,1,197
power,1,198
putin,1,199
python,1,200
quá,11,201
quân,1,202
quả,2,203
quảng,1,204
quốc,1,205
ra,14,206
rau,1,207
rẻ,1,208
rồi,25,209
samsung,1,210
sang,1,211
sao,2,212
spotify,4,213
steam,1,214
sách,1,215
sĩ,2,216
sản,3,217
số,4,218
sở,1,219
sử,15,220
sữa,1,221
sự,1,222
tao,5,223
tay,1,224
terminal,41,225
thao,1,226
thoại,4,227
thuốc,2,228
thành,1,229
thì,1,230
thích,17,231
thông,2,232
thúc,1,233
thư,1,234
thương,1,235
thấp,1,236
thất,2,237
thấy,33,238
thật,3,239
thế,11,240
thể,2,241
thị,1,242
thổi,1,243
thức,1,244
thực,3,245
tin,7,246
tiền,1,247
toán,1,248
trang,1,249
trump,1,250
trình,2,251
trại,1,252
trạm,2,253
ty,4,254
tài,1,255
tàu,1,256
tâm,1,257
tên,2,258
tìm,2,259
tình,3,260
tính,5,261
tô,4,262
tôi,192,263
tôm,2,264
tương,2,265
tưởng,1,266
tảng,1,267
tắt,33,268
tế,2,269
tức,2,270
tử,1,271
ung,1,272
unikey,3,273
vi,2,274
vincity,1,275
việt,1,276
vladiamir,1,277
vui,4,278
vàng,5,279
vào,2,280
với,3,281
webstorm,5,282
where,1,283
word,2,284
xe,5,285
xem,8,286
xiaomi,1,287
xinh,3,288
xuất,3,289
xách,1,290
xăng,3,291
xổ,2,292
youtube,29,293
yêu,12,294
à,1,295
áp,1,296
ân,1,297
ô,4,298
ông,1,299
ý,1,300
ăn,4,301
đi,55,302
điểm,1,303
điện,5,304
đàn,2,305
đá,3,306
đáng,1,307
đâu,29,308
đã,1,309
đèn,3,310
đóng,45,311
được,38,312
đạp,1,313
đảo,2,314
đất,1,315
đầu,2,316
đẹp,2,317
đề,3,318
để,8,319
đọc,1,320
đồ,3,321
đổi,1,322
động,12,323
đới,1,324
đủ,1,325
đừng,5,326
ơi,18,327
"ơi,",1,328
ấy,2,329
ở,14,330
ứng,11,331
